name,points_per_game
Al & Ryan,0.88
Andrew & Connie,0.52
Brett & Jim,0.85
Brothers in Arms,0.55
Cam & Paul,0.85
Charlie,0.88
Chris,0.98
Comorose,0.86
D.F.J.,0.79
Dan & Coutts,0.58
"Dave, Quinton, & Maj",0.95
Dennis & Bruce,0.72
Geoff Graham,0.81
Gilles,1.13
John M.,0.86
KJR Radio,0.69
Lu,0.77
Marty,0.76
Mr. Saturday Night,0.67
Nautical Disaster,0.47
Ross Graham,0.82
Shane & Dom,0.58
Team Charley,0.76
The Hurtin Albertins,0.66
ToMaTo,0.88
Yan,0.58
